KinkyDungeonCredits,크레딧
RestraintVinylTapeFeetDesc2,"늘어나는 방수 테이프로, 물체에만 달라붙습니다. 따라서 사람에게 불편함을 주지 않고 안전하게 바르고 제거할 수 있습니다. 신축성 덕분에 아주 단단하게 말아도 깨지지 않고, 힘을 가해도 깨지지 않습니다."
RestraintVinylTapeFeetMummyDesc2,"늘어나는 방수 테이프로, 물체에만 달라붙습니다. 따라서 사람에게 불편함을 주지 않고 안전하게 바르고 제거할 수 있습니다. 신축성 덕분에 아주 단단하게 말아도 깨지지 않고, 힘을 가해도 깨지지 않습니다."
RestraintVinylTapeArms,테이프(무기)
RestraintVinylTapeLegs,테이프(다리)
RestraintVinylTapeFeet,테이프(피트)
RestraintVinylTapeHead,테이프(헤드)
RestraintVinylTapeMouthDesc,본디지 애호가를 위한 매끈하고 빛나는 테이프. 빠른 인벤토리 또는 핫바에서 취약한 대상에 사용할 수 있습니다.
RestraintVinylTapeHeadDesc,본디지 애호가를 위한 매끈하고 빛나는 테이프. 빠른 인벤토리 또는 핫바에서 취약한 대상에 사용할 수 있습니다.
RestraintVinylTapeMouth,테이프 개그
RestraintVinylTapeMouthFull,테이프 마우스 랩
RestraintVinylTapeBoots,테이프 포장(발가락)
RestraintVinylTapeHeadMummy,테이프 래핑(헤드)
RestraintVinylTapeArmsMummy,테이프 래핑(팔)
RestraintVinylTapeFeetMummy,테이프 포장(피트)
RestraintVinylTapeLegsMummy,테이프 포장(다리)
RestraintVinylTapeCollar,살아있는 테이프 목걸이
RestraintAutoTapeCollarDesc,이 목걸이는 착용자가 테이프에서 벗어나지 않도록 설계되었습니다.
RestraintVinylTapeCollarDesc,이 목걸이는 착용자가 테이프에서 벗어나지 않도록 설계되었습니다.
RestraintVinylTapeCollarDesc2,가끔 아무데서나 테이프가 나타나 착용자를 묶게 됩니다. 효과는 가지고 있는 테이프의 양에 따라 속도가 증가합니다.
RestraintAutoTapeRaw,오토테이프
RestraintAutoTapeRawDesc,기계 로딩을 위한 편리한 카트리지로 제공됩니다.
RestraintAutoTapeRawDesc2,"오래된 문명의 시대에 포획 목적으로 사용되는 특수 테이프입니다. 외관은 다르지만 통풍이 가능한 가스 투과성 멤브레인을 포함하고 있으며, 소성성을 띠고 있어 접착제를 방해할 수 있는 용제에 저항합니다. 접착층은 다른 오토테이프에만 접촉했을 때 활성화되기 때문에 사용 및 제거가 더 안전합니다."
RestraintVinylTapeRaw,고무 테이프
RestraintCharmRaw,매직 참
RestraintCharmRawDesc,고대 묘지에서 온 마법의 부적.
RestraintCharmRawDesc2,그 마법은 그것을 손상으로부터 보호하기에는 부족하지만 침입자와 저주받은 존재를 모두 구속하는 데 놀라울 정도로 효과적입니다.
RestraintMysticDuctTapeRaw,축복받은 포장
RestraintMysticDuctTapeRawDesc,마법의 방부 처리 리본 층.
RestraintMysticDuctTapeRawDesc2,침입자와 장난꾸러기 고양이소녀에게 저절로 달라붙는다.
RestraintAutoTapeHands,오토테이프(손)
RestraintAutoTapeMouthFullDesc,금속 재질의 점착 테이프. 경찰 상황에서 큰 효과를 발휘합니다.
RestraintAutoTapeFeetDesc,금속 재질의 점착 테이프. 경찰 상황에서 큰 효과를 발휘합니다.
RestraintAutoTapeArmsDesc,금속 재질의 점착 테이프. 경찰 상황에서 큰 효과를 발휘합니다.
RestraintAutoTapeBootsDesc,금속 재질의 점착 테이프. 경찰 상황에서 큰 효과를 발휘합니다.
RestraintAutoTapeLegsDesc,금속 재질의 점착 테이프. 경찰 상황에서 큰 효과를 발휘합니다.
RestraintAutoTapeHandsDesc,금속 재질의 점착 테이프. 경찰 상황에서 큰 효과를 발휘합니다.
RestraintAutoTapeHandsDesc2,그것은 매우 끈적거리고 손을 단단히 밀봉하여 고군분투하는 것을 비효율적으로 만듭니다.
RestraintAutoTapeHead,오토테이프(헤드)
RestraintAutoTapeHeadDesc,금속 재질의 점착 테이프. 경찰 상황에서 큰 효과를 발휘합니다. 취약한 대상에 신속한 인벤토리 또는 핫바에서 사용할 수 있습니다.
RestraintAutoTapeMouthDesc,금속 재질의 점착 테이프. 경찰 상황에서 큰 효과를 발휘합니다. 취약한 대상에 신속한 인벤토리 또는 핫바에서 사용할 수 있습니다.
RestraintAutoTapeMouthFullDesc2,매우 끈적거리고 질기지만 아마도 칼로 뚫을 수 있을 것입니다.
RestraintAutoTapeArmsDesc2,매우 끈적거리고 질기지만 아마도 칼로 뚫을 수 있을 것입니다.
RestraintAutoTapeFeetDesc2,매우 끈적거리고 질기지만 아마도 칼로 뚫을 수 있을 것입니다.
RestraintAutoTapeBootsDesc2,매우 끈적거리고 질기지만 아마도 칼로 뚫을 수 있을 것입니다.
RestraintAutoTapeLegsDesc2,매우 끈적거리고 질기지만 아마도 칼로 뚫을 수 있을 것입니다.
RestraintAutoTapeMouthDesc2,매우 끈적거리고 질기지만 아마도 칼로 뚫을 수 있을 것입니다.
RestraintAutoTapeHeadDesc2,매우 끈적거리고 질기지만 아마도 칼로 뚫을 수 있을 것입니다.
RestraintAutoTapeArms,오토테이프(무기)
RestraintAutoTapeLegs,오토테이프(다리)
RestraintAutoTapeFeet,오토테이프(발목)
RestraintAutoTapeBoots,오토테이프(피트)
RestraintAutoTapeMouth,오토테이프(입)
RestraintAutoTapeMouthFull,오토테이프(마우스 랩)
RestraintAutoTapeCollar,살아있는 오토 테프 넥타이
RestraintAutoTapeCollarDesc2,가끔도 테이프가 하늘에서 나타나 착용자를 묶게 됩니다. 착용하고 있는 테이프의 양에 따라 효과의 속도가 증가합니다.
m_Stuffing_l_Stuffing,소
RestraintStuffing,소
m_Stuffing,소
RestraintStuffingDesc,천으로 속을 채운 것. 취약한 대상이나 전반적으로 마지막 턴에 주문을 거는 대상에게 적용할 수 있습니다.
RestraintStuffingDesc2,아무것도 덮고 있지 않다면 쉽게 뱉어낼 수 있습니다.
RestraintMithrilLivingCollar,살아있는 미스릴 목걸이
RestraintMithrilLivingCollarDesc,"무게에 가까운 합금으로 만들어진 목걸이로, 목에 맞춰 스스로 조절됩니다."
RestraintMithrilLivingCollarDesc2,가끔 아무데서나 미스릴을 생성하고 착용자를 묶습니다. 착용자에게 미스릴이 많을수록 효과가 빨라집니다.
RestraintMithrilCollar,미스릴 목걸이
RestraintMithrilCollarDesc,무게에 가까운 합금으로 만든 목걸이..
RestraintMithrilCollarDesc2,편안하지만 정말 어렵습니다.
RestraintMithrilArmCuffs,미스릴 커프스
RestraintObsidianArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintBlacksteelArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintCrystalArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintMithrilArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintIceArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintScaleArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintBanditArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintWardenArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintSteelArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintLeatherArmCuffsDesc,당신을 쉽게 구속할 수 있는 수갑입니다.
RestraintMithrilArmCuffs4Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintMithrilAnkleCuffsDesc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintWardenArmCuffs2Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintMithrilLegCuffsDesc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintWardenAnkleCuffsDesc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintWardenAnkleCuffs2Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintWardenLegCuffsDesc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintWardenLegCuffs2Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintMithrilLegCuffs2Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintWardenArmCuffs3Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintMithrilAnkleCuffs2Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintWardenArmCuffs4Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintMithrilArmCuffsDesc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintMithrilAnkleCuffs3Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintMithrilArmCuffs2Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintMithrilArmCuffs3Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintWardenArmCuffsDesc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
RestraintWardenAnkleCuffs3Desc2,그들은 거기에 없는 것처럼 느껴지지만 재료는 단단하고 단단합니다.
KinkyDungeonLinkBlacksteelArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkWardenArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkScaleArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkObsidianArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkAsylumArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkMithrilArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkCrystalArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkIceArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkLeatherArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkSteelArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
KinkyDungeonLinkBanditArmCuffs,적이 당신의 손목 수갑을 묶었습니다!
RestraintObsidianArmCuffs2,손목 체인
RestraintBlacksteelArmCuffs2,손목 체인
RestraintAsylumArmCuffs2,손목 체인
RestraintWristLink,손목 체인
RestraintAsylumArmCuffs3,손목 체인
RestraintLeatherArmCuffs2,손목 체인
RestraintWardenArmCuffs2,손목 체인
RestraintIceArmCuffs2,손목 체인
RestraintCrystalArmCuffs2,손목 체인
RestraintMithrilArmCuffs2,손목 체인
RestraintScaleArmCuffs2,손목 체인
RestraintBanditArmCuffs2Desc,팔을 등 뒤로 고정하는 수갑.
RestraintLeatherArmCuffs2Desc,팔을 등 뒤로 고정하는 수갑.
RestraintMithrilArmCuffs2Desc,팔을 등 뒤로 고정하는 수갑.
RestraintIceArmCuffs2Desc,팔을 등 뒤로 고정하는 수갑.
RestraintObsidianArmCuffs2Desc,팔을 등 뒤로 고정하는 수갑.
RestraintBlacksteelArmCuffs2Desc,팔을 등 뒤로 고정하는 수갑.
RestraintScaleArmCuffs2Desc,팔을 등 뒤로 고정하는 수갑.
RestraintCrystalArmCuffs2Desc,팔을 등 뒤로 고정하는 수갑.
RestraintWardenArmCuffs2Desc,팔을 등 뒤로 고정하는 수갑.
KinkyDungeonUnLinkSteelArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkObsidianArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkLeatherArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkBanditArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkCrystalArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkAsylumArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkWardenArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkScaleArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkMithrilArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkMagneticArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkBlacksteelArmCuffs2,수갑이 풀린다!
KinkyDungeonUnLinkIceArmCuffs2,수갑이 풀린다!
KinkyDungeonLinkCrystalArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkWardenArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkBanditArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkSteelArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkIceArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkScaleArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkBlacksteelArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkAsylumArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkMithrilArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkObsidianArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
KinkyDungeonLinkLeatherArmCuffs2,적이 당신의 팔꿈치 수갑을 붙입니다!
RestraintLeatherArmCuffs3,커프스 체인
RestraintCrystalArmCuffs3,커프스 체인
RestraintScaleArmCuffs3,커프스 체인
RestraintBlacksteelArmCuffs3,커프스 체인
RestraintWardenArmCuffs3,커프스 체인
RestraintMithrilArmCuffs3,커프스 체인
RestraintIceArmCuffs3,커프스 체인
RestraintAsylumAnkleCuffs2,커프스 체인
RestraintObsidianArmCuffs3,커프스 체인
RestraintIceArmCuffs3Desc,엄격한 팔꿈치 넥타이로 팔을 보호하는 풀 세트 커프스!
RestraintObsidianArmCuffs3Desc,엄격한 팔꿈치 넥타이로 팔을 보호하는 풀 세트 커프스!
RestraintBanditArmCuffs3Desc,엄격한 팔꿈치 넥타이로 팔을 보호하는 풀 세트 커프스!
RestraintLeatherArmCuffs3Desc,엄격한 팔꿈치 넥타이로 팔을 보호하는 풀 세트 커프스!
RestraintBlacksteelArmCuffs3Desc,엄격한 팔꿈치 넥타이로 팔을 보호하는 풀 세트 커프스!
RestraintWardenArmCuffs3Desc,엄격한 팔꿈치 넥타이로 팔을 보호하는 풀 세트 커프스!
RestraintMithrilArmCuffs3Desc,엄격한 팔꿈치 넥타이로 팔을 보호하는 풀 세트 커프스!
RestraintScaleArmCuffs3Desc,엄격한 팔꿈치 넥타이로 팔을 보호하는 풀 세트 커프스!
RestraintCrystalArmCuffs3Desc,엄격한 팔꿈치 넥타이로 팔을 보호하는 풀 세트 커프스!
KinkyDungeonUnLinkBlacksteelArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
KinkyDungeonUnLinkObsidianArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
KinkyDungeonUnLinkBanditArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
KinkyDungeonUnLinkScaleArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
KinkyDungeonUnLinkCrystalArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
KinkyDungeonUnLinkIceArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
KinkyDungeonUnLinkMithrilArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
KinkyDungeonUnLinkAsylumArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
KinkyDungeonUnLinkWardenArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
KinkyDungeonUnLinkLeatherArmCuffs3,팔꿈치가 묶인 채로 손목이 분리됩니다!
RestraintScaleArmCuffs4,팔꿈치 사슬
RestraintCrystalArmCuffs4,팔꿈치 사슬
RestraintAsylumArmCuffs4,팔꿈치 사슬
RestraintWardenArmCuffs4,팔꿈치 사슬
RestraintBlacksteelArmCuffs4,팔꿈치 사슬
RestraintMithrilArmCuffs4,팔꿈치 사슬
RestraintIceArmCuffs4,팔꿈치 사슬
RestraintObsidianArmCuffs4,팔꿈치 사슬
RestraintElbowLink,팔꿈치 사슬
RestraintLeatherArmCuffs4,팔꿈치 사슬
RestraintObsidianArmCuffs4Desc,팔꿈치를 함께 고정시켜주는 수갑!
RestraintLeatherArmCuffs4Desc,팔꿈치를 함께 고정시켜주는 수갑!
RestraintScaleArmCuffs4Desc,팔꿈치를 함께 고정시켜주는 수갑!
RestraintCrystalArmCuffs4Desc,팔꿈치를 함께 고정시켜주는 수갑!
RestraintBanditArmCuffs4Desc,팔꿈치를 함께 고정시켜주는 수갑!
RestraintWardenArmCuffs4Desc,팔꿈치를 함께 고정시켜주는 수갑!
RestraintMithrilArmCuffs4Desc,팔꿈치를 함께 고정시켜주는 수갑!
RestraintBlacksteelArmCuffs4Desc,팔꿈치를 함께 고정시켜주는 수갑!
KinkyDungeonUnLinkBlacksteelArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonUnLinkAsylumArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonUnLinkMithrilArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonUnLinkObsidianArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonUnLinkBanditArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonUnLinkWardenArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonUnLinkScaleArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonUnLinkLeatherArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonUnLinkIceArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonUnLinkCrystalArmCuffs4,팔꿈치가 분리됩니다!
KinkyDungeonLinkMithrilArmCuffs4,적이 손목 수갑을 다시 연결합니다!
KinkyDungeonLinkObsidianArmCuffs4,적이 손목 수갑을 다시 연결합니다!
KinkyDungeonLinkBanditArmCuffs4,적이 손목 수갑을 다시 연결합니다!
KinkyDungeonLinkCrystalArmCuffs4,적이 손목 수갑을 다시 연결합니다!
KinkyDungeonLinkScaleArmCuffs4,적이 손목 수갑을 다시 연결합니다!
KinkyDungeonLinkIceArmCuffs4,적이 손목 수갑을 다시 연결합니다!
KinkyDungeonLinkAsylumArmCuffs4,적이 손목 수갑을 다시 연결합니다!
KinkyDungeonLinkWardenArmCuffs4,적이 손목 수갑을 다시 연결합니다!
KinkyDungeonLinkLeatherArmCuffs4,적이 손목 수갑을 다시 연결합니다!
KinkyDungeonLinkBlacksteelArmCuffs4,적이 손목 수갑을 다시 연결합니다!
RestraintMithrilLegCuffs,미스릴 레그 커프스
RestraintSteelLegCuffsDesc,다리에 수갑.
RestraintWardenLegCuffsDesc,다리에 수갑.
RestraintObsidianLegCuffsDesc,다리에 수갑.
RestraintLeatherLegCuffsDesc,다리에 수갑.
RestraintMithrilLegCuffsDesc,다리에 수갑.
RestraintCrystalLegCuffsDesc,다리에 수갑.
RestraintIceLegCuffsDesc,다리에 수갑.
RestraintBlacksteelLegCuffsDesc,다리에 수갑.
RestraintScaleLegCuffsDesc,다리에 수갑.
KinkyDungeonLinkBlacksteelLegCuffs,적이 당신의 다리 수갑을 묶었습니다!
KinkyDungeonLinkIceLegCuffs,적이 당신의 다리 수갑을 묶었습니다!
KinkyDungeonLinkWardenLegCuffs,적이 당신의 다리 수갑을 묶었습니다!
KinkyDungeonLinkObsidianLegCuffs,적이 당신의 다리 수갑을 묶었습니다!
KinkyDungeonLinkMithrilLegCuffs,적이 당신의 다리 수갑을 묶었습니다!
KinkyDungeonLinkScaleLegCuffs,적이 당신의 다리 수갑을 묶었습니다!
KinkyDungeonLinkSteelLegCuffs,적이 당신의 다리 수갑을 묶었습니다!
KinkyDungeonLinkCrystalLegCuffs,적이 당신의 다리 수갑을 묶었습니다!
KinkyDungeonLinkLeatherLegCuffs,적이 당신의 다리 수갑을 묶었습니다!
RestraintScaleLegCuffs2,허벅지 체인
RestraintIceLegCuffs2,허벅지 체인
RestraintMithrilLegCuffs2,허벅지 체인
RestraintThighLink,허벅지 체인
RestraintBlacksteelLegCuffs2,허벅지 체인
RestraintLeatherLegCuffs2,허벅지 체인
RestraintCrystalLegCuffs2,허벅지 체인
RestraintWardenLegCuffs2,허벅지 체인
RestraintAsylumLegCuffs2,허벅지 체인
RestraintObsidianLegCuffs2,허벅지 체인
RestraintCrystalLegCuffs2Desc,다리를 묶는 수갑.
RestraintMithrilAnkleCuffs2Desc,다리를 묶는 수갑.
RestraintWardenLegCuffs2Desc,다리를 묶는 수갑.
RestraintBanditAnkleCuffs2Desc,다리를 묶는 수갑.
RestraintCrystalAnkleCuffs2Desc,다리를 묶는 수갑.
RestraintIceAnkleCuffs2Desc,다리를 묶는 수갑.
RestraintAsylumLegCuffs2Desc,다리를 묶는 수갑.
RestraintObsidianLegCuffs2Desc,다리를 묶는 수갑.
RestraintBanditAnkleCuffsDesc,다리를 묶는 수갑.
RestraintLeatherAnkleCuffs2Desc,다리를 묶는 수갑.
RestraintObsidianAnkleCuffs2Desc,다리를 묶는 수갑.
RestraintMithrilLegCuffs2Desc,다리를 묶는 수갑.
RestraintLeatherLegCuffs2Desc,다리를 묶는 수갑.
RestraintScaleLegCuffs2Desc,다리를 묶는 수갑.
RestraintBlacksteelLegCuffs2Desc,다리를 묶는 수갑.
RestraintIceLegCuffs2Desc,다리를 묶는 수갑.
RestraintWardenAnkleCuffs2Desc,다리를 묶는 수갑.
RestraintScaleAnkleCuffs2Desc,다리를 묶는 수갑.
RestraintBlacksteelAnkleCuffs2Desc,다리를 묶는 수갑.
KinkyDungeonUnLinkScaleLegCuffs2,레그 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkBlacksteelLegCuffs2,레그 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkMithrilLegCuffs2,레그 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkAsylumLegCuffs2,레그 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkObsidianLegCuffs2,레그 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkWardenLegCuffs2,레그 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkLeatherLegCuffs2,레그 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkIceLegCuffs2,레그 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkCrystalLegCuffs2,레그 커프스 체인이 분리되었습니다!
RestraintMithrilAnkleCuffs,미스릴 발목 커프스
RestraintMithrilAnkleCuffsDesc,발목에 수갑.
RestraintSteelAnkleCuffsDesc,발목에 수갑.
RestraintScaleAnkleCuffsDesc,발목에 수갑.
RestraintWardenAnkleCuffsDesc,발목에 수갑.
RestraintCrystalAnkleCuffsDesc,발목에 수갑.
RestraintBanditLegCuffsDesc,발목에 수갑.
RestraintIceAnkleCuffsDesc,발목에 수갑.
RestraintLeatherAnkleCuffsDesc,발목에 수갑.
RestraintBlacksteelAnkleCuffsDesc,발목에 수갑.
RestraintObsidianAnkleCuffsDesc,발목에 수갑.
KinkyDungeonLinkAsylumAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkBlacksteelAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkObsidianAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkCrystalAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkWardenAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkIceAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkLeatherAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkScaleAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkMithrilAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkAsylumLegCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkDragonAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkBanditAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkSteelAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
KinkyDungeonLinkMaidAnkleCuffs,적이 당신의 발목 수갑을 묶었습니다!
RestraintScaleAnkleCuffs2,발목 체인
RestraintLeatherAnkleCuffs2,발목 체인
RestraintObsidianAnkleCuffs2,발목 체인
RestraintWardenAnkleCuffs2,발목 체인
RestraintCrystalAnkleCuffs2,발목 체인
RestraintBlacksteelAnkleCuffs2,발목 체인
RestraintAnkleLink,발목 체인
RestraintMithrilAnkleCuffs2,발목 체인
RestraintIceAnkleCuffs2,발목 체인
KinkyDungeonUnLinkDragonAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkMithrilAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkObsidianAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkScaleAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkCrystalAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkBanditAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkIceAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkWardenAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkAsylumAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkLeatherAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkMaidAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonUnLinkBlacksteelAnkleCuffs2,발목 커프스 체인이 분리되었습니다!
KinkyDungeonLinkIceAnkleCuffs2,발목 커프스 체인이 조여져 발을 함께 당깁니다!
KinkyDungeonLinkObsidianAnkleCuffs2,발목 커프스 체인이 조여져 발을 함께 당깁니다!
KinkyDungeonLinkCrystalAnkleCuffs2,발목 커프스 체인이 조여져 발을 함께 당깁니다!
KinkyDungeonLinkBlacksteelAnkleCuffs2,발목 커프스 체인이 조여져 발을 함께 당깁니다!
KinkyDungeonLinkLeatherAnkleCuffs2,발목 커프스 체인이 조여져 발을 함께 당깁니다!
KinkyDungeonLinkMithrilAnkleCuffs2,발목 커프스 체인이 조여져 발을 함께 당깁니다!
KinkyDungeonLinkWardenAnkleCuffs2,발목 커프스 체인이 조여져 발을 함께 당깁니다!
KinkyDungeonLinkScaleAnkleCuffs2,발목 커프스 체인이 조여져 발을 함께 당깁니다!
RestraintLeatherAnkleCuffs3,발목 체인
RestraintObsidianAnkleCuffs3,발목 체인
RestraintWardenAnkleCuffs3,발목 체인
RestraintMithrilAnkleCuffs3,발목 체인
RestraintIceAnkleCuffs3,발목 체인
RestraintBlacksteelAnkleCuffs3,발목 체인
RestraintCrystalAnkleCuffs3,발목 체인
RestraintScaleAnkleCuffs3,발목 체인
RestraintCrystalAnkleCuffs3Desc,발을 단단히 묶는 수갑.
RestraintWardenAnkleCuffs3Desc,발을 단단히 묶는 수갑.
RestraintBlacksteelAnkleCuffs3Desc,발을 단단히 묶는 수갑.
RestraintIceAnkleCuffs3Desc,발을 단단히 묶는 수갑.
RestraintScaleAnkleCuffs3Desc,발을 단단히 묶는 수갑.
RestraintObsidianAnkleCuffs3Desc,발을 단단히 묶는 수갑.
RestraintMithrilAnkleCuffs3Desc,발을 단단히 묶는 수갑.
